UID	TEXT	LABEL
1	Ye song nahi hi Ye MODI Ji ka mehnat ka rang hi wo ek din pura world me dikhe ga ye to sirf Turkmenistan. hi hai.. Great MODi ji	2
3	Love u sir love u soo much urs I'ts beautyful vedio ...	2
4	Arae sur jee pahelae hamare bharat ke bachho ka parao.... Firr vedesh may jao yaar	1
5	Wah! Jitni sundar geet ke bhao hain utnihi sundar aur sureeli aawaz hai .	2
8	Sundar ekdam sahi Gaya Hua gana.chhotisi gudiya ko naman	2
9	Wao lata mangekar	2
10	Aatma aur mun ki pavitrata ki jhalak hai is beti ki aawaz mei, khush raho beti.	2
11	Joy hind joy hindMeri bhatan tuje salamModi ji aapko salam	2
12	Kash Modiji Aap Manmohan Singh se phly aa gy hoty....aj 2015 humara Desh kha phuch gya hota	2
13	India me student pe atyachaar karra hai result nahi dikhaijara hai aur yaha ye inke aankho me dhul jhokra hai	0
14	:o :o :o	1
15	Ye song nahi hi Ye MODI Ji ka mehnat ka rang hi wo ek din pura world me dikha denge ye to sirf Turkmenistan. hi hai.. Great MODi ji .........great	2
16	modiji duniya k masiha he...kafi ku6 kiya he or aage bhi karna he....	2
17	BaH Guruji Kya style hai apka duniyako hila ke chhore hain.	2
18	Awsome...isey kehte hain hindustan ki chaap chodna poore duniya me...	2
19	Namaste MAHA MODI ji!!	1
20	Modi ji aap ko shat shat naman hai jo aap ne pure universe me apne hindustan ka parcham laharaya......	2
22	V good Modi ji aap lege rahe hum aapke sath he	2
23	fantabulous... We proud of you Modi Ji...Hamare desh ki tasvir bhi sudharti nazar aa rahi h, sablogon me badlao dikh raha h... India ko apke jaisa hi PM chahiye..Bharat ki kuch zamini samsyaye bhi h jaha dhyan dene ki zarurat h...asha h ki jald hi unme bhi sudhar ayega.	2
24	Wah sir g ab desh sahi hatho me gya h apko dekh kar aisa hi lagata h	2
26	its not hindi its urdu and bolywood ager kamyab hai tu Urdu ki waja say	1
27	Narendra Modi Yeh kya bakchodi pel rahe ho facebook pe, kaam karlo plz!	0
28	Kash ye sab bangladesh aur pakistan b gate toh kitna acha hota	1
29	wah wah Turkes	1
32	masha allah good....yeh hain meri hindi	2
33	Wah wah maja aa gya !! Indian Govt. should host an International Hindi song compitition !! Tarrakki bahut ho gayi ab thoda entertainment ho jai, 'Kyo bhayio aur behno' ???	2
35	Mujhe gussa un saale hinduo par aata hai jo nasmjhi me modi ji ka virodh karte hain ..	0
37	bharat ko vishwa guru banne se koi nahi rok sakta......vande matram	2
38	Sir yeh tho sirf aap hi kar sakte hai. Great sir	2
39	Modi jigood preiminister hia	2
40	Jai sri ram nama namo	1
41	Jan Jan ka viswas kam ho na jai hind	1
42	modi ji aage badho pura desh aapke ssath hai.	2
43	RAJ KAPOOR KI FILMO KE BAARE ME SUNA THA KI USSR ME PASAND KI JAATI HAI.LAGTA HAI VAH AAJ BHI KAYAM HAY.	2
45	we are proud our pm ; ab lg rha h ki hmara desh ek achchi rah pr chal para hai jaha se hm puri world me apna jhanda gaar skte hai	2
46	modi ji aap ki soch bahut sahi lgti hai progres n hona hi sabki wajah hai is liye sabse zaroori hai ki desh ka vikas ho	2
47	bhrat ko no.1 banne me ab jyada samy nahi lagega,, kyo ki modi ji jaisa pm bade bhagya se milte hai,,jo bharat ki rftar ko bdane me koi kasar nahi chodege,,,,,,,,,jai hind,,,,,,	2
48	Baccho k Dilon dimag ko satya k raste pe lane k liya Is geet ko schoolo me vandana k rup me anivarya karna chaheye .	2
49	KARTIKEY KUMAR modi hi des ko agÅ  bada sakate hai	2
50	Hahaha budha bachiyo ko taar raha h	0
51	Aisa PM naa hua hai aur naa hee hoga kabhi. .	2
52	koi hindu nhi koi muslim nhi hm sab hundustani hai	1
54	Modi tujhe jaan se maarna mera kaam hai , main Khalistani huuuuuuu	0
55	Modije mera request hai ke ap apna whatsapp no de take mai live pic apko dekha saku	1
56	Modiji ap apne desh ka tirnga sari duni me lahraya hum sabko Garv hai ap per maa bharti ka man duniya me badhaya apne ap hum bhartvasio ke dil me bas gaye ho salute sir apko jai hind	2
57	Hum Bihar ka to jeet gaye aur UP ka election jeeta dena.Abhi to hum 12seaton se jeete hai hume aur humen 65seaton se jeeta dena.	1
58	Pm ho to aisa modi jaisa ji hind jay varat	2
59	manka biswas kam jor hona...	0
60	Modi is tarah so dekhne se kuchh nahi hota	0
61	Modi ji hi aise ekmatra person hai jinme desh ko age Le Jane ki sakti aur jajba hai	2
62	Mahan bharat ka mahan beta har har modhi	2
65	modi ji aage chalo haem aapki jarurat hai	2
66	jai ho bharat mata ki w hamari sanskriti ki jo videshi bhi apnate hai	2
67	modi sir app pahale OBC president ho. OBC ke liye kuch karo. bad me koi kuch nahi karega	0
68	Sab ka malik ek.	1
70	Modi Sab Pranam App bahut Achya kam kar rahe hai is kam me ham sab apke sath hai or meri apse vinti hai ki app apni tabiyat ka khayal rakiye app or app jivo hajharo sal vande matram bharat mata ki jai	2
74	Modi ji kale kuto Ka ilaj ker do bhut bimar hai	2
75	Sir app ke jo soch he subko sath me leke chalna ek din ye soch appko itna upper lejayega chahe koye appko bhulne ki kosis kerenge to unnke samne appko bhulna nehi balki desh ko bhulna nazar aayega.	2
76	Jai hind modi sir	2
77	Kiu app apne desh ki paisa ko kharab kar rahe ho..apne desh to ghum ke dekha nehi..aap chale dushre ki desh ghumne..koi vala kam aapse nehi hoga modi g..	0
78	bahut ho gaya ghumna phirna. ab paani sar se upar jaa raha hai.	0
81	jai hind mera bharat mera hindusthan	2
82	World best pm narendar modi Ji mira bhart mahan	2
83	Lageraho modiji pura des aapke sath he.	2
85	Sir ji you r great,Ap sirf bidesh Bhraman korenge ya Desh Ki bachhe ko v khayal rakhenge,Kitna garub hai hum log,Diya koro sahab	2
89	PM ka samman..........mera samman....JAY HIND	2
90	JAY JAY HO BHARAT	2
92	Kya baat hai g	1
93	nice pic modi ji	2
94	jaldi aa kar vyapam par kuch kijiye nahi 45 ke paar hattyayen pahuchne wali hai	0
95	Salute you sir app bahut mehnat karte hai	2
96	Congrats modi jee	2
97	Modi ji aap apna kaam kijiye, kisi ki baat ko mat suniye agar 5 baccho me se do bigad jaayen to bhi paalna to padta hi hai	2
98	Sir hm sab digitial india ke platform pe chalna chahte hai.mai samghta ho kifirst priority hmre force ko hny chahiye becaymuse unhe sabse jyada digital hona must hai india ke liye.	1
101	Wah modi sab	2
104	grt step 4grt relation...nic job sir	2
105	Kuch nahi karoge tum india ke liye	0
106	Addd mee frnds	1
108	Jab tak suraj chaand rahega modi ji ka naam rahega	2
110	Unstoppable modi sir	2
111	Jada ghumte mat raho hamlok ko madat karo hamar bare socho jara ham madat magte to mili nahi qq	0
112	Modiji apne desh ka tho khayal rakho sirf gumne ke pm bane ho kiya falthi pm hai	0
113	Modi ji ek aisa star hai wo jaroor India ka star badlega kya khete ho mera bhayio or bheno	2
114	Modi ji namashkarSorry to say but aap jab v kahin Facebook pe kuch share karte hain to status ko English me update karte hai...Khusi hogi jab aaapka updates hindi me	1
115	Jai hind ks.chouhan bhinmal jalore	1
116	Duniya ki technology lane par hi dess ka vikas hoga	2
118	Prnam ji kuch desh ke liye mai bhi krna chahta hu bas aapka thoda sath chahiye agar mil jaye to mera kaam aasan or khubshurat hmara desh hoga.	1
119	Faltu time nahi hai	0
121	Sir aap to India KO bhul gye or gov k paiso PR holiday PR ghum rhe ho aap India me toh dikhai hi nai dete	0
122	Hello modi ji	1
123	app desh ka dadkhan jaihind	2
124	Bhakt se bada anuyai hota hai.	1
125	Modi ji hamara hindustan ka naam saada ucha rakhna.jai bharat mata jai hind..	2
129	Namsthe sir jai gurudhev	1
130	j banda kam kar raha hai ham maze le rahe hai jab sey india ke pm bane hai tab sey laga gai great man in the world .........best pm in the world..... only one on one......	2
131	Modi Ji. App mearaku thoda call krdejia. 0096555218960	1
133	Is desh ko jarurat h guidelines ki Varna itani jayada aabadi ka desh world no.1 nahi ho sakta.jo vikas ke raste mai aata hai. Usko hamesha ke liye khatam kar do. Chahe wo koi party ho ya galat insan desh ko tarakki chahiye kisi bhi keemat par.	1
134	Lage raho sir.	2
135	Sir, Namaskar. Mai Bihar se hun aur aapka jabardash prasansak hu, Aap jo desh ke liye niswarth bav se kam kar rahe hai, aapko sadaib best p.m ke roop me jana jaega. salute to you sir.	2
138	Humari sabhayata humari pehchaan...	1
139	Maza to tab hai jab kohinoor wapis lao	1
140	ache log ko ache gifts hi milte hain jaise indians ko aap mila sir ji.	2
143	Respected sir aap aaj pure Bharat ki ummid ho ...ek naya savera aapne hi janta ko dikhaya he...ap dhup bhi nikaliye...	2
144	Onli modi sarkar	1
145	Modi ji apne ye to kaha diya ki Jo saksham hai vo subsiti na le Main sahamat hoo per please Ek bar himmat juta ker bol dijiye Jo saksham hai vo arakshan na le	2
146	jai ho modi jii	2
149	Sir aap se koch baat krna he zarori	1
150	sir aap kya cheez ho? kamal!!!!	2
152	desh gourav badha rahe ho ayushman bhav	2
153	sir agar aapke pas thoda sa time ho toh kripa karke es desh ki nojawaano ke liye bi kuch kariye.. jyada jankari ke liye kripyaa msg kariye mujhe	1
155	Great PM sahab yeh sab only hmare modi ji hi kar skte h	2
156	Apna desh chlane ke liye bola apni myiya chuda rhe ho ghum ghum ke..	0
157	UP me kuchh kro nhe to 2017 meBSP aa jayeg	0
158	modi saab ye konsi country hai???	1
159	Jai hind maniyo pradhan manteri ji me sena bharti nhi hua lekin me desh ki sena ko salam karta hunJAI HIND JAI MATA KI	2
160	Modiji aapko hajaro salam.bahut pm aaya gaya karod lekhe gaya but aaptho imndar pm best of luck	2
161	Namastey sir, Jis tarah ap desh ki halat sudhar rhe h. Usi tarah please hum jese peoples pr bi dhyan dijiye.	1
