uid	text	label
1	So that means tomorrow cruda segura lol	2
2	Tonight peda segura	1
3	Eres tan mala vieja bruja interesada	0
4	Yo kiero Pretzels lol	1
5	Fuck that ni ke el me vaya a mantener toda la vida lol	0
6	I always tell my dad ke me kiero kasar con una vieja rika and me regaña telling me ke no sea interesada ha	0
7	Ke me compre un carrito pa irme con mis friends and party lol	1
8	Why can I just find a rich bitch ke me mantenga y ya ha	1
9	Since I started working ya ni disfruto la vida lol	0
10	My dad me regano cuzs I was telling that to my brother and lo andaba molestando lol	0
11	If u still love her you should give her otro chance	2
12	Tengo hungry mhm	1
13	Teachers be staring at me like im high they gotta accept my eyes parecen de camaron	1
14	Bien fatass ha	1
15	Bitch lmao yeah sure el tuyo parece ke te lo iso un lil kid	1
16	ha do n't lie los mios bolian a febrezee xD	1
17	lo levantaste con una de tus bombas lmao	2
18	I 'm an asshole to gabby lol ok ya	0
19	actually yo me bajaba porke te echabas unos pedos bien apestosos ke no aguantaba fumigabas todo el room xD	0
20	ha u know is true parece ke te esta dando un atake xD	2
21	Nobody can make gabby laugh like I do asta parece mongolita lmao	2
22	Bitch ha ratchet as N xD parece u al revvez	0
23	Gabby is just saying that cuzs I gave her , her fav gum and le planche sus pelos de elote lol jk jk	2
24	Should I give oomf the candy nawh mejor me lo como yo lol	1
25	I was gonna buy summ spur gumn for oomf but then I remembered that shes on a diet so mejor no lol	1
26	Cuzs today I swear I 'm not doing anything nothing at all fui fui fui	1
27	Manager got us tacos and everyone is just chilling lol	2
28	The hug she gave me en la morning	2
29	Is your name sabado cuzs that ass is gigante lol	1
30	I 'm the type of person that would get drunk af do stupid shit darme unos chingasos call or text my crush and the next day i will do it again	0
31	I 'm just hoping my crush venga today : *	2
32	Came to buy a torta and una gordita for my bro	1
33	Hola chikita estoy bien buenote kieres ser mi novia lmao - Pañiaguas	2
34	Bitch Nigga my tat ai n't even fucked up otra cosa ke tu no saves ni leer ha	0
35	Oomf anda de buenas pues ke abra comido lol	2
36	She used to hate barbacoa but it was just cuzs she did n't knew how to eat it the right way ha	0
37	I was eating tacos de barbacoa RN and me akorde de oomf lol	2
38	De ke te kiero te kiero pendeja pero rogarte ? Ha ni ke estuvieras tan Buena ;)	1
39	She 's a good cuñada lol	2
40	Just woke up De my nap w itzayana	1
41	Kuando me vaya a LA or mexico IMA take my queen	1
42	Chillin en el apt con yazmin y lesly	1
43	This guy made cookies other one made tamales other guy made cookies another guy made mole a girl made fresas I made ensalda De pollo	1
44	lol lo ke sobre the llevo	1
45	Tragando tamales in class lol	1
46	Bien mexican	2
47	And maybe me llevo a la nohemi al restaurant ha	1
48	Here w josue at the apt eating tamales sopas chocolates cookies juices and all that good shit ha	2
49	Yo oiero ir a ver a gloria trevi today :/	0
50	Cuzs then itzayana me va a kitar lo ke me dieron -.-	0
51	My belly hurts comi mucho chocolate	0
52	Me viera agarrado algo but I never thought me me iba ablar	1
53	She thought the chocolate and teddy bear eran pa Ella lol	2
54	Crush said she loves me cuzs me di chocolate	2
55	Tengo ke aprovechar mis last mins single	2
56	I do n't really like sopa de conchas	0
57	Me vale madre lo ke digan tus padres ke soy pandillero pelon y visto baggie	0
58	My phone looks ratchet todo crack	1
59	Eres una cualkiera yes u are .	0
60	Finna go a McDonalds con la nohemi	1
61	Ni kulo me van a dar ni una tokadita lmfao nohemi	2
62	Lol just cuzs va andar de forever alone	0
63	Nohemi cook for me summ kesadiyas	1
64	Escapate te doy 2 mins aki estoy afuera	1
65	Gonna download that game hopefully no me ponga toda mad cuzs lo borro	0
66	The manager did n't know the boss was my cuñada ora si ya le bajo a sus huevitos	0
67	This nigga is singing mi nina travieza lmfao bien feo	0
68	Mhm no wonder why they used to call me changa when i was lil	1
69	I wish she would come back that women se olvido de mi smh	0
70	Me Interesas by noel torres	1
71	Or mejor I go to my brothers house	1
72	Seen ur ex suegra is awkward af	0
73	Vayanse alv ha I got all kinds of color pants	1
74	If u think I jusy want u cuzs ur money heoo no bitch tas loka	0
75	But I told jaime ke iba ir a su house to play xbox	1
76	No la buskes hija muy bonita por ke al paso del tiempo se le kita - my dad lol bien gay	1
77	Not playing w females nomore I judt got slap por andar de pendejita	0
78	My dad calls my friends flor , luz and all that shit	0
79	I brought the sueter my gma gave me form mexico lol	1
80	Fwm : Lo mato and ill take her gf lmfao lol too funny	2
81	Micaela micaela ke tu tienes alma mia lol	2
82	I made tostadas for me and her and she 's makin sadwiches lol	1
83	Me and yazmin were looking at that milby page and we told nohemi and her bitchass hide lmfao ya la cache	0
84	Ayyy I wanna go home -.- no to my brother 's apt ayi me dan puras wings and pizza	0
85	My manager is gay lol so ya somos amiguis xD	2
86	I want sus eyes they idk badass	2
87	My manager is so cool el chimuelo no el de los cute eyes si lol	2
88	Kuzs he 's always passin me churros and all that good shit	2
89	Nomas kuzs mis tattoos	1
90	My manager 's name is gabby and I show her my tattoo she was all like awww I feel special u got my name tatted up ha se emociono lol	2
91	Damm me duele mi cabezota	0
92	Nohemi was all panikiada and shit too cuzs she thought it was her sis	0
93	Pero chill a nigga still single I already explain to her watt I mean	1
94	Lmao la mom de yazmin me dijo ke me oigo bien mamona lol	1
95	I gotta do ensalada de pollo for my English class lol	1
96	My dad la puso a mi nombre since I was lil :)	2
97	The fact that my cuñada is the boss	1
98	My fam siempre me echan carriya cuzs of the tattoo its funny tho lol	2
99	We all here waiting pa ke juege mex :)	2
100	Lmao my dad told me to get soy una estupida tatted up on my forehead for getting my ex name tatted up smh it was funny cuz my friends here	0
101	Finally ya I 'm calm after everything that happened today	2
