Uid,Sentiment
15475,neutral
4927,neutral
16827,positive
39902,neutral
19668,neutral
14398,positive
35607,negative
28508,negative
44572,neutral
1553,negative
42369,neutral
20091,neutral
17873,positive
15927,neutral
3576,neutral
16310,positive
27777,neutral
11445,neutral
15614,neutral
30779,positive
17285,positive
19005,positive
745,neutral
31363,neutral
2994,neutral
4516,positive
4674,positive
35302,positive
42843,neutral
35144,positive
8379,neutral
40317,neutral
24124,negative
29849,neutral
42981,positive
962,positive
38220,positive
30274,negative
28368,positive
30239,positive
7044,positive
16733,positive
26894,neutral
36216,neutral
23939,positive
11977,neutral
26287,positive
7829,negative
18203,negative
7677,positive
11738,neutral
11330,neutral
21596,negative
42886,neutral
33426,positive
7853,neutral
6277,neutral
23963,positive
61,negative
13883,negative
16353,positive
27782,negative
3098,neutral
712,neutral
43925,neutral
14775,positive
36310,negative
13072,neutral
33469,neutral
38143,positive
23638,positive
11642,neutral
12088,positive
36210,positive
33655,neutral
11317,positive
24791,negative
28980,neutral
38474,neutral
32180,neutral
2295,neutral
27637,neutral
40236,neutral
14034,negative
14547,positive
30258,positive
16242,positive
3190,negative
19278,negative
9909,positive
359,negative
32748,negative
9428,positive
3276,neutral
7833,positive
27832,neutral
7715,positive
9232,neutral
23235,positive
32226,neutral
24475,positive
27142,neutral
20944,neutral
8577,neutral
41376,negative
36176,positive
22560,negative
16614,positive
1338,positive
27845,neutral
21573,neutral
14722,neutral
29348,neutral
14285,neutral
28185,neutral
28471,negative
13201,positive
7077,positive
26592,positive
3695,neutral
40962,negative
14282,negative
17565,neutral
17190,negative
45,positive
39525,positive
24432,positive
28274,negative
18711,positive
19830,positive
13774,positive
22381,positive
41758,negative
32627,negative
19793,negative
7370,positive
25795,positive
13505,neutral
15011,positive
31574,neutral
19572,positive
35088,neutral
44385,positive
16139,neutral
31236,positive
45010,positive
12928,positive
8477,negative
17196,negative
38179,negative
14707,negative
31137,neutral
12805,positive
44663,positive
19470,neutral
18913,positive
24727,negative
4049,neutral
28201,neutral
6546,positive
12877,negative
19047,negative
28865,neutral
28044,positive
31350,neutral
2518,neutral
35892,neutral
16620,positive
25509,neutral
27417,positive
16598,positive
32495,neutral
14943,neutral
5346,positive
30123,neutral
39196,positive
20396,neutral
21906,neutral
17109,neutral
14524,positive
1393,neutral
1694,neutral
14795,neutral
20057,positive
2799,negative
23542,negative
