Uid,Sentiment
2411,positive
2372,neutral
2317,positive
2307,positive
2285,neutral
2246,neutral
2239,positive
2237,positive
2154,positive
2031,positive
2007,neutral
2002,positive
1854,neutral
1803,positive
1760,positive
1584,neutral
1450,neutral
1339,positive
1329,neutral
1326,positive
1276,positive
959,positive
937,neutral
878,positive
861,neutral
859,neutral
584,neutral
484,positive
438,neutral
338,positive
287,positive
172,positive
49,neutral
2932,positive
2926,positive
2868,positive
2734,positive
2514,positive
2466,positive
2313,positive
2289,neutral
2273,positive
2223,positive
2142,positive
2096,positive
1916,positive
1860,positive
1818,positive
1777,positive
1249,positive
1224,positive
1148,positive
942,positive
915,positive
901,positive
885,positive
815,neutral
756,positive
697,positive
691,positive
598,neutral
524,positive
479,neutral
371,positive
337,positive
77,neutral
47,positive
2982,positive
2768,positive
2758,neutral
2623,neutral
2611,positive
2472,positive
2329,neutral
2264,positive
1781,positive
1619,positive
1569,neutral
1500,positive
1411,positive
1245,positive
1048,neutral
967,positive
887,positive
748,neutral
665,positive
641,positive
571,neutral
569,positive
429,positive
181,neutral
2820,positive
2714,positive
2370,neutral
1440,positive
1198,positive
914,neutral
784,neutral
621,neutral
488,positive
2856,positive
2749,positive
2721,positive
2718,positive
2707,positive
2642,positive
2551,positive
2489,positive
2281,positive
2070,positive
2028,positive
1955,positive
1907,positive
1901,positive
1894,positive
1700,positive
1595,positive
1578,positive
1415,positive
1297,positive
1171,positive
918,positive
755,positive
633,positive
525,positive
304,positive
202,positive
190,positive
2633,positive
2578,neutral
2577,neutral
2563,positive
2548,positive
2451,positive
2405,positive
2361,positive
2347,positive
2266,positive
2198,positive
2169,positive
2162,positive
2140,positive
2139,positive
2130,positive
2083,positive
2061,neutral
2029,positive
2013,negative
1996,negative
1962,positive
1923,positive
1833,positive
1774,positive
1769,positive
1754,negative
1723,positive
1632,positive
1581,positive
1562,positive
1561,positive
1556,positive
1503,positive
1464,positive
1370,positive
1366,positive
1324,neutral
1320,positive
1300,positive
1294,positive
1273,positive
1267,positive
1251,positive
1199,neutral
1183,positive
1153,positive
1090,positive
1077,negative
1027,positive
993,positive
970,positive
921,neutral
916,positive
826,positive
795,positive
780,positive
704,positive
671,neutral
609,positive
597,neutral
595,positive
512,neutral
459,positive
454,neutral
437,positive
432,positive
317,positive
239,negative
189,positive
138,positive
100,positive
2956,neutral
2940,positive
2919,positive
2859,positive
2826,neutral
2785,positive
2631,negative
2586,positive
2583,positive
2561,neutral
2552,positive
2500,neutral
2481,positive
2464,positive
2447,positive
2440,positive
2428,positive
2319,positive
2222,positive
2105,positive
2080,positive
2064,neutral
2048,positive
1961,positive
1886,neutral
1848,positive
1672,positive
1628,positive
1545,neutral
1379,positive
1332,positive
1328,positive
1125,positive
1063,positive
1049,positive
998,positive
978,positive
897,positive
843,positive
797,positive
786,positive
774,positive
724,neutral
170,negative
143,positive
2994,positive
2981,positive
2933,neutral
2889,positive
2880,positive
2834,neutral
2813,positive
2669,positive
2585,neutral
2545,positive
2494,positive
1264,positive
1262,positive
1247,positive
1242,positive
1200,positive
1190,positive
1165,neutral
1159,positive
1117,positive
1047,neutral
1036,positive
1034,positive
971,positive
950,positive
947,positive
909,neutral
870,positive
810,positive
806,positive
776,positive
773,positive
723,neutral
605,positive
581,neutral
575,positive
541,positive
527,positive
518,positive
469,positive
441,neutral
332,neutral
309,positive
278,positive
236,positive
221,negative
128,neutral
114,positive
35,positive
3,positive
2991,positive
2974,neutral
2937,positive
2848,positive
2846,positive
2841,positive
2818,positive
2756,neutral
2752,neutral
2747,positive
2737,positive
2698,neutral
2696,positive
2664,neutral
2579,positive
2571,positive
2502,positive
2493,positive
2476,neutral
2475,neutral
2431,positive
2363,positive
2342,positive
2341,positive
2327,neutral
2325,neutral
2321,positive
2253,positive
2159,positive
2158,positive
2116,positive
2109,positive
2057,positive
2032,positive
1958,positive
1922,positive
1891,positive
1864,positive
1789,negative
1782,positive
1739,positive
1689,positive
1547,positive
1546,positive
1544,neutral
1526,positive
1492,positive
1480,positive
1402,neutral
1364,positive
1351,positive
1306,positive
1114,negative
1038,neutral
1019,positive
988,positive
986,positive
934,negative
898,positive
853,positive
842,positive
823,positive
690,neutral
689,positive
635,positive
611,neutral
596,positive
478,positive
460,positive
403,positive
380,neutral
350,positive
344,neutral
245,positive
240,positive
214,negative
135,positive
129,positive
75,negative
24,positive
2,positive
2853,neutral
2837,positive
2836,positive
2810,positive
2797,positive
2712,neutral
2694,positive
2672,neutral
1201,positive
1185,positive
1182,positive
1173,neutral
1169,negative
1167,positive
1160,positive
1138,positive
1127,positive
1111,positive
1085,positive
1080,positive
1011,positive
1009,neutral
999,positive
990,positive
980,neutral
976,positive
958,positive
946,positive
920,positive
884,positive
880,positive
879,positive
